Date,Close/Last,Volume,Open,High,Low
11/28/2022,1755.30,126938,1771.10,1778.50,1753.30
11/25/2022,1768.80,62238,1765.20,1776.00,1760.60
11/23/2022,1760.40,72154,1755.60,1769.70,1733.50
11/22/2022,1754.80,57764,1755.40,1765.80,1752.40
11/21/2022,1754.60,64912,1766.60,1769.70,1748.80
11/18/2022,1769.00,29695,1777.60,1784.50,1764.00
11/17/2022,1763.00,164553,1777.00,1777.60,1756.60
11/16/2022,1775.80,191870,1782.00,1788.20,1773.40
11/15/2022,1774.70,276828,1774.00,1791.80,1770.20
11/14/2022,1774.20,184022,1769.40,1778.40,1755.80
11/11/2022,1774.20,182646,1758.30,1775.60,1750.30
11/10/2022,1753.70,284865,1709.70,1760.60,1705.50
11/09/2022,1715.80,221627,1715.20,1725.80,1705.10
11/08/2022,1716.00,276996,1678.00,1720.40,1667.10
11/07/2022,1680.50,170491,1678.60,1685.60,1670.00
11/04/2022,1685.70,279525,1631.70,1686.40,1631.10
11/03/2022,1637.70,241648,1639.10,1643.20,1618.30
11/02/2022,1651.00,215445,1651.40,1673.10,1637.40
11/01/2022,1636.40,193178,1636.10,1660.30,1633.60
10/31/2022,1648.30,124445,1647.20,1648.50,1634.50
10/28/2022,1648.30,186519,1667.20,1670.90,1640.70
10/27/2022,1668.80,180599,1668.80,1674.80,1658.50
10/26/2022,1669.20,183453,1657.70,1679.40,1653.80
10/25/2022,1658.00,178706,1654.50,1666.80,1641.20
10/24/2022,1654.10,167448,1662.90,1675.50,1648.00
10/21/2022,1656.30,265985,1632.40,1663.10,1621.10
10/20/2022,1636.80,159797,1634.60,1650.30,1626.30
10/19/2022,1634.20,172551,1657.20,1659.80,1632.20
10/18/2022,1655.50,N/A,1655.50,1655.50,1655.50
10/17/2022,1664.00,144374,1649.90,1674.30,1649.10
10/14/2022,1672.90,N/A,1672.90,1672.90,1672.90
10/13/2022,1672.90,N/A,1672.90,1672.90,1672.90
10/12/2022,1677.50,127689,1673.40,1685.10,1668.00
10/11/2022,1686.00,166065,1675.60,1691.30,1667.50
10/10/2022,1675.20,152626,1703.40,1707.40,1672.50
10/07/2022,1709.30,153813,1721.00,1722.80,1698.40
10/06/2022,1720.90,134333,1725.50,1734.20,1714.80
10/05/2022,1720.80,168000,1734.40,1736.60,1708.80
10/04/2022,1730.50,199426,1708.40,1738.70,1704.00
10/03/2022,1702.00,207858,1670.50,1710.40,1666.50
09/30/2022,1672.00,173144,1669.50,1684.40,1667.50
09/29/2022,1668.60,196633,1669.00,1673.10,1649.30
09/28/2022,1670.00,270952,1636.50,1671.60,1622.20
09/27/2022,1636.20,192565,1629.20,1650.10,1628.70
09/26/2022,1633.40,213873,1651.00,1657.20,1627.70
09/23/2022,1655.60,236570,1680.10,1685.00,1646.60
09/22/2022,1681.10,232407,1682.80,1693.50,1663.30
09/21/2022,1675.70,221902,1673.20,1696.90,1661.30
09/20/2022,1671.10,140765,1684.90,1688.80,1668.10
09/19/2022,1678.20,138336,1685.40,1688.80,1667.60
09/16/2022,1683.50,209506,1673.70,1689.90,1661.90
09/15/2022,1677.30,257001,1707.20,1707.80,1668.90
09/14/2022,1709.10,159797,1711.60,1717.30,1703.30
09/13/2022,1717.40,228966,1736.00,1742.90,1706.70
09/12/2022,1740.60,152588,1728.40,1746.40,1722.30
09/09/2022,1728.60,151576,1719.60,1740.50,1719.40
09/08/2022,1720.20,182302,1729.50,1739.40,1713.70
09/07/2022,1727.80,169690,1712.90,1731.20,1701.70
09/06/2022,1712.90,202021,1724.20,1737.40,1710.60
09/02/2022,1722.60,171140,1707.80,1729.50,1705.90
09/01/2022,1709.30,192532,1723.00,1723.00,1699.10
08/31/2022,1726.20,169549,1735.50,1738.00,1720.60
08/30/2022,1736.30,126018,1749.80,1752.80,1732.90
08/29/2022,1749.70,151838,1748.40,1757.90,1731.40
08/26/2022,1749.80,169654,1771.80,1772.30,1746.20
08/25/2022,1771.40,114539,1764.40,1778.80,1763.00
08/24/2022,1761.50,111405,1761.30,1769.50,1754.80
08/23/2022,1761.20,140603,1750.00,1767.50,1743.10
08/22/2022,1748.40,137883,1760.60,1762.10,1740.20
08/19/2022,1762.90,133714,1773.10,1773.30,1759.10
08/18/2022,1771.20,119686,1777.10,1786.30,1768.80
08/17/2022,1776.70,134521,1790.80,1796.60,1773.90
08/16/2022,1789.70,90514,1795.50,1798.00,1785.40
08/15/2022,1798.10,134361,1818.90,1818.90,1787.60
08/12/2022,1815.50,114600,1805.20,1819.10,1799.60
08/11/2022,1807.20,115221,1807.90,1814.90,1798.60
08/10/2022,1813.70,151584,1811.50,1824.60,1803.30
08/09/2022,1812.30,117689,1805.50,1817.00,1799.40
08/08/2022,1805.20,101477,1790.30,1806.40,1786.90
08/05/2022,1791.20,164173,1807.70,1811.60,1780.20
08/04/2022,1806.90,146208,1782.10,1812.00,1779.40
08/03/2022,1776.40,147085,1777.30,1789.40,1770.00
08/02/2022,1789.70,169496,1789.20,1805.00,1776.00
08/01/2022,1787.70,131463,1782.50,1792.50,1774.30
07/29/2022,1781.80,136893,1773.10,1784.60,1768.40
07/28/2022,1769.20,186813,1751.40,1774.40,1750.40
07/27/2022,1737.50,114058,1733.10,1758.20,1727.00
07/26/2022,1735.70,84467,1735.90,1744.30,1729.60
07/25/2022,1737.10,73873,1744.00,1752.50,1730.90
07/22/2022,1745.30,70482,1735.30,1755.90,1729.80
07/21/2022,1731.30,56532,1711.50,1737.30,1696.10
07/20/2022,1717.70,47329,1727.00,1730.40,1707.80
07/19/2022,1728.10,23419,1725.20,1734.20,1720.70
